location,site,year1stTag,tag,plot,dah2011.cm,height2011.cm,basal_stems2011,fruit2011,comments2011,fruit.jul.2012,notes.jul.2012,dah.2012,hgt.2012,basal.stems.2012,frt.2012,frt.err.2012,notes.2012,dah.max.2012,mortality.2012
long_island,caleb_smith,2011,2108,8,0.9,207,2,0,,0,,0.91,156,2,0,,Broken top,,
long_island,caleb_smith,2011,2109,8,0.45,81,1,0,,0,,0.52,76,1,0,,,,
long_island,caleb_smith,2011,2110,8,0.44,85,1,0,,0,,0.46,82,2,0,,,,
long_island,caleb_smith,2011,2111,8,0.38,81,2,0,,0,,0.42,69,2,0,,,,
long_island,caleb_smith,2011,2112,8,0.41,78,2,0,,0,,0.44,70,2,0,,,,
long_island,caleb_smith,2011,2113,8,0.4,69,1,0,,0,,0.36,73,1,0,,Dead?,,
long_island,caleb_smith,2011,CS-10,8,0.27,48,1,0,,0,,0.26,47,2,0,,,,
long_island,caleb_smith,2011,CS-11,8,0.28,47,1,0,,0,,0.28,49,1,0,,,,
long_island,caleb_smith,2011,CS-12,8,0.26,42,1,0,,0,,0.25,44,2,0,,,,
long_island,caleb_smith,2011,CS-13,8,0.36,77,1,0,,0,,0.38,80,1,0,,,,
long_island,caleb_smith,2011,CS-14,8,0.28,51,1,0,,0,,0.3,52,1,0,,,,
long_island,caleb_smith,2011,CS-15,8,0.34,72,1,0,,0,,0.38,64,1,0,,,,
long_island,caleb_smith,2011,CS-4,8,0.25,36,1,0,,0,,0.39,41,1,0,,,,
long_island,caleb_smith,2011,CS-5,8,0.2,29,1,0,,0,,0.21,33,1,0,,,,
long_island,caleb_smith,2011,CS-6,8,0.18,30,1,0,,0,,0.26,38,1,0,,,,
long_island,caleb_smith,2011,CS-7,8,0.23,32,2,0,,0,,0.18,34,3,0,,,,
long_island,caleb_smith,2011,CS-8,8,0.32,49,1,0,,0,,0.35,55,1,0,,,,
long_island,caleb_smith,2011,CS-9,8,0.2,25,1,0,,0,,0.19,27,1,0,,,,
long_island,caleb_smith,2012,CS12-156,8,,,,,,0,,0.07,8,1,0,,,,
long_island,caleb_smith,2012,CS12-157,8,,,,,,0,,0.2,24,1,0,,,,
long_island,caleb_smith,2012,CS12-158,8,,,,,,0,,0.23,23,1,0,,,,
long_island,caleb_smith,2012,CS12-159,8,,,,,,0,,0.12,12,1,0,,,,
long_island,caleb_smith,2012,CS12-160,8,,,,,,0,,0.09,6,1,0,,,,
long_island,caleb_smith,2012,CS12-161,8,,,,,,0,,0.09,6,1,0,,,,
long_island,caleb_smith,2011,P8-3,8,0.08,7,1,0,,0,,0.11,8,1,0,,,,
long_island,caleb_smith,2011,P8-4,8,0.14,13,1,0,,0,,NA,NA,NA,NA,,Not Found,,
long_island,caleb_smith,2011,P8-8,8,,,,,,0,,0.15,15,1,0,,,,
long_island,caleb_smith,2011,P8-9,8,,,,,,0,,0.15,15,1,0,,,,
long_island,caleb_smith,2011,2063,9,2.5,401,1,0,height = 400-450,18,,2.58,401,1,0,,,,
long_island,caleb_smith,2011,2064,9,3.33,234,3,0,top main stem damaged,0,,3.23,295,5,0,,height of tallest stem = 345,,
long_island,caleb_smith,2011,2065,9,1.65,305,3,0,knocked over by dead branch,2,,1.77,321,3,0,,still under a branch; tag on stem under branch,,
long_island,caleb_smith,2011,2066,9,0.48,86,3,0,,0,,0.61,131,2,0,,,,
long_island,caleb_smith,2011,2067,10,1.24,252,10,0,,4,,1.12,209,12,0,,height is tallest stem; top broken; min dah from the tallest stem,1.23,
long_island,caleb_smith,2011,2068,10,0.99,215,1,0,,0,,1.07,208,2,0,,,,
long_island,caleb_smith,2011,2069,10,1.32,237,1,0,,1,,1.36,137,2,0,,broken,,
long_island,caleb_smith,2011,2070,10,0.4,33,2,0,,0,,0.43,25,1,0,,top broken,,
long_island,caleb_smith,2011,2071,10,0.25,40,1,0,,0,,0.31,34,1,0,,,,
long_island,caleb_smith,2011,2072,10,0.33,52,2,0,,0,,0.62,52,2,0,,new stem height = 27; old main stem is dead,,
long_island,caleb_smith,2011,2073,10,0.59,109,2,0,,0,,0.59,109,2,0,,new stem height = 27; old main stem is dead,,
long_island,caleb_smith,2011,2074,10,0.32,40,4,0,,0,,0.37,49,1,0,,,,
long_island,caleb_smith,2011,2075,10,0.45,78,5,0,,0,,0.48,92,4,0,,,,
long_island,caleb_smith,2012,CS12-117,10,,,,,,0,,0.13,10,1,0,,,,
long_island,caleb_smith,2011,P10-1,10,,,,,,0,,0.08,9,1,0,,,,
long_island,caleb_smith,2011,P10-3,10,0.12,8,1,0,,0,,0.15,12,1,0,,,,
long_island,caleb_smith,2011,P10-5,10,,,,,,0,,0.11,10,1,0,,,,
long_island,caleb_smith,2011,2115,11,0.69,132,2,0,,0,,0.67,135,2,0,,,,
long_island,caleb_smith,2011,2116,11,0.54,91,1,0,,0,,0.54,88,2,0,,"Height = 88 to first bud, 94 to top",,
long_island,caleb_smith,2011,2117,11,0.38,70,2,0,,0,,0.38,69,2,0,,,,
long_island,caleb_smith,2011,2118,11,0.36,32,1,0,,0,,0.38,34,1,0,,,,
long_island,caleb_smith,2011,2119,11,0.47,56,1,0,,0,,0.45,55,2,0,,,,
long_island,caleb_smith,2011,2120,11,0.5,85,2,0,,0,,0.56,32,3,0,,Height to top = 87,,
long_island,caleb_smith,2011,2121,11,0.28,32,1,0,,0,,0.27,35,1,0,,,,
long_island,caleb_smith,2011,2122,11,0.28,43,2,0,,0,,0.24,27,1,0,,Main stem dead,,
long_island,caleb_smith,2011,2123,11,0.46,70,1,0,,0,,0.49,74,1,0,,,,
long_island,caleb_smith,2011,2124,11,0.26,39,1,0,,0,,0.25,39,1,0,,,,
long_island,caleb_smith,2011,2125,12,1.6,254,2,0,,0,,1.62,62,1,0,,Height to top 262; top broken,,
long_island,caleb_smith,2011,2126,12,1.72,326,5,0,,0,,1.72,339,12,0,,,,
