location,site,plot,seed.marked.2011,seed.observed.2012,seed.dead.2012,seed.missing,seed.newMarks.2012
unh,wff,3,67,58,4,5,
unh,wff,4,9,5,3,1,
unh,wff,2,58,43,7,8,
unh,wff,6,44,7,32,5,
unh,wff,9,29,23,3,3,
unh,wff,15,16,6,8,2,
unh,wff,1,4,2,1,1,
unh,wff,8,10,1,7,2,
unh,wff,5,53,29,19,5,
unh,wff,12,26,10,15,1,
unh,tofa,1,22,12,5,5,4
unh,tofa,7,4,0,3,1,3
unh,tofa,3,2,0,0,2,0
unh,tofa,9,11,0,9,2,4
unh,tofa,10,8,0,6,2,3
unh,tofa,11,15,6,5,4,3
unh,tofa,14,3,0,3,0,2
unh,tofa,2,4,0,3,1,2
